CODIGOCLIE,Path_archivo_datos,Nombre,CIIU,Mult. de potencias
90000356,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000356-2023.csv,OMNIBUS BB TRANSPORTES S.A.,C2910.01,160.0
90000357,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000357-2023.csv,Desconocido,Desconocido,Desconocido
90000379,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000379-2023.csv,HOLCIM ECUADOR S.A.,C2394.01,800.0
90000401,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000401-2023.csv,Desconocido,Desconocido,Desconocido
90000418,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000418-2023.csv,PERFILPLAST DEL ECUADOR S.A.,C2220.11,660.0
90000425,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000425-2023.csv,OMNIBUS BB TRANSPORTES SA,C2910.01,1440.0
90000428,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000428-2023.csv,Desconocido,Desconocido,Desconocido
90000429,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000429-2023.csv,Desconocido,Desconocido,Desconocido
90000436,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000436-2023.csv,Desconocido,Desconocido,Desconocido
90000440,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000440-2023.csv,IDEPLAST IDEAS PLASTICAS CIA. LTDA.,C2220.91,400.0
90000441,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000441-2023.csv,FUPEL C. LTDA. ,C2013.11,800.0
90000448,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000448-2023.csv,ELASTO S.A.,C2930.01,400.0
90000456,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000456-2023.csv,CALZADO PONY SA,C1520.01,80.0
90000465,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000465-2023.csv,CONELSA CONDUCTORES ELECTRICOS S.A.,C2732.01,2000.0
90000467,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000467-2023.csv,Desconocido,Desconocido,Desconocido
90000481,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000481-2023.csv,EMPRESA NACIONAL DE OXIGENO ENOX S.A.,C2011.11,400.0
90000488,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000488-2023.csv,ACEROS INDUSTRIALES DEL ECUADOR ACINDEC S.A.,C2790.19,600.0
90000496,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000496-2023.csv,Desconocido,Desconocido,Desconocido
90000503,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000503-2023.csv,OMNIBUS BB TRANSPORTES S.A.,C2910.01,800.0
90000511,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000511-2023.csv,Desconocido,Desconocido,Desconocido
